topic,item_oid,question,data_type,option_a,option_b,option_c,option_d,mandatory,condition_oid,condition_expression
Standard Greenhouse,I.1,Specify the desired Width of the Greenhouse (max footprint),integer,,,,,No,,
Standard Greenhouse,I.2,Specify the desired Length of the Greenhouse (max footprint),integer,,,,,No,,
Standard Greenhouse,I.3,Do you have an Existing Foundation or do you want to build a New Foundation,singleselect,I have an Existing Foundation,I want to build a New Foundation,,,No,,
Standard Greenhouse,I.4,Describe your Existing Foundation type?,singleselect,Concrete,Block,Wood,,No,C.1,"!(I.3 == ""1"")"
Standard Greenhouse,I.5,Enter the Width of the foundation in Feet and Inches,integer,,,,,No,C.2,"!(I.4 == ""1"")"
Standard Greenhouse,I.6,Enter the Width of the foundation in Feet and Inches,integer,,,,,No,C.3,"!(I.4 == ""2"")"
Standard Greenhouse,I.7,Enter the Width of the foundation in Feet and Inches,integer,,,,,No,C.4,"!(I.4 == ""3"")"
Standard Greenhouse,I.190,Enter the Height of the foundation in Feet and Inches,integer,,,,,No,C.131,"!(I.4 == ""3"")"
Standard Greenhouse,I.193,Enter the Height of the foundation in Feet and Inches,integer,,,,,No,C.129,"!(I.4 == ""1"")"
Standard Greenhouse,I.194,Enter the Height of the foundation in Feet and Inches,integer,,,,,No,C.130,"!(I.4 == ""2"")"
Standard Greenhouse,I.8,Enter your Kneewall Length,integer,,,,,No,C.5,"!(I.3 == ""1"")"
Standard Greenhouse,I.11,Please Specify Your Greenhouse Type,singleselect,Free Standing,Home Attached,,,No,,
Standard Greenhouse,I.12,Choose the type of Home Attached Setup desired,singleselect,Gable Attached,Lean To,Gable Attached Lean To,Double Gable Attached Lean To,No,C.6,"!(I.11 == ""2"")"
Standard Greenhouse,I.13,Is there a Maximum Height Limit?,singleselect,Yes,No,,,No,C.7,"!(I.11 == ""2"")"
Standard Greenhouse,I.14,What is the Height Limit (Feet & Inches),integer,,,,,No,C.8,"!(I.13 == ""Yes"")"
Standard Greenhouse,I.15,What kind of Roof Pitch do you prefer?,singleselect,Traditional - 5/12,Pacific Style - 5/12,Cottage Style - 8.5/12,Cape Cod Style - 12/12,No,,
Standard Greenhouse,I.16,Specify the pitch.,text,,,,,No,C.9,"!(I.15 == ""5"")"
Standard Greenhouse,I.229,Choose the sidewall height of your Greenhouse,singleselect,All Walls,Custom Size,,,No,,
Standard Greenhouse,I.280,Select the height,singleselect,Standard 5.5ft,Other height,,,No,C.237,"!(I.229 == ""1"")"
Standard Greenhouse,I.281,Enter the sidewall height,integer,,,,,No,C.238,"!(I.280 == ""2"")"
Standard Greenhouse,I.282,Enter the Left Gable height,integer,,,,,No,C.239,"!(I.229 == ""2"")"
Standard Greenhouse,I.283,Enter the Left Sidewall height,integer,,,,,No,C.239,"!(I.229 == ""2"")"
Standard Greenhouse,I.284,Enter the Right Gable height,integer,,,,,No,C.239,"!(I.229 == ""2"")"
Standard Greenhouse,I.285,Enter the Right Sidewall height,integer,,,,,No,C.239,"!(I.229 == ""2"")"
Standard Greenhouse,I.231,Choose the Greenhouse Frame Color,singleselect,White,Green,Brown,Black,No,,
Standard Greenhouse,I.232,Specify the color required,text,,,,,No,C.191,"!(I.231 == ""5"")"
Standard Greenhouse,I.17,Choose a Glazing preference for your Greenhouse,singleselect,Glass,Polycarb,Combo,,No,,
Standard Greenhouse,I.18,Choose the type of Glass Required,singleselect,3mm Single Glass,6mm Single Glass,16mm Double Glass,,No,C.10,"!(I.17 == ""1"")"
Standard Greenhouse,I.19,Do you Want to Tint the Glass or Laminate it?,singleselect,Tint,Laminate,,,No,C.11,"!(I.18 == ""1"")"
Standard Greenhouse,I.20,Choose the Tint Color,singleselect,Green,Bronze,Gray,Custom,No,C.12,"!(I.19 == ""1"")"
Standard Greenhouse,I.21,Specify the color required,text,,,,,No,C.16,"!(I.20 == ""4"")"
Standard Greenhouse,I.22,What tint do you want on 6mm Single Glass?,singleselect,Grey,Green,Bronze,Clear,No,C.17,"!(I.18 == ""2"")"
Standard Greenhouse,I.23,Choose is the configuration of 16mm double glass,singleselect,Clear,Low-E,,,No,C.18,"!(I.18 == ""3"")"
Standard Greenhouse,I.24,What is the type of clear you prefer?,singleselect,Tempered,Laminate,,,No,C.19,"!(I.23 == ""1"")"
Standard Greenhouse,I.25,What is the type of Low - E you prefer?,singleselect,Tempered,Laminate,,,No,C.20,"!(I.23 == ""2"")"
Standard Greenhouse,I.26,Choose the type of Polycarb,singleselect,Twin Wall Polycarb,Five Wall Polycarb,,,No,C.21,"!(I.17 == ""2"")"
Standard Greenhouse,I.27,Choose the color of Twin Wall Polycarb,singleselect,Clear,Opal,Bronze,,No,C.22,"!(I.26 == ""1"")"
Standard Greenhouse,I.28,Choose the Roof Materials,singleselect,Glass,Polycarb,,,No,C.23,"!(I.17 == ""3"")"
Standard Greenhouse,I.29,Choose the type of Glass for the Roof of your Greenhouse,singleselect,3mm Single Glass,6mm Single Glass,16mm Double Glass,,No,C.24,"!(I.28 == ""1"")"
Standard Greenhouse,I.200,Do you want Casement Windows in your Greenhouse?,boolean,,,,,No,C.159,"!(I.29 == ""3"")"
Standard Greenhouse,I.202,Enter the Quantity,integer,,,,,No,C.160,"!(I.200 == ""Yes"")"
Standard Greenhouse,I.30,Do you Want to Tint the Glass or Laminate it ?,singleselect,Tint,Laminate,,,No,C.25,"!(I.29 == ""1"")"
Standard Greenhouse,I.31,Choose the Tint Color,singleselect,Green,Brown,Gray ,Custom,No,C.26,"!(I.30 == ""1"")"
Standard Greenhouse,I.32,Specify the color required,text,,,,,No,C.27,"!(I.31 == ""4"")"
Standard Greenhouse,I.33,What tint do you want on 6mm Single Glass for your Roof?,singleselect,Grey,Green,Bronze,Clear,No,C.28,"!(I.29 == ""2"")"
Standard Greenhouse,I.34,What configuration of 16mm Double Glass do you desire for your Roof?,singleselect,Clear,Low-E,,,No,C.29,"!(I.29 == ""3"")"
Standard Greenhouse,I.35,What is the type of Clear you prefer in Roof ?,singleselect,Tempered,Laminate,,,No,C.30,"!(I.34 == ""1"")"
Standard Greenhouse,I.36,What is the type of Low - E you prefer in Roof ?,singleselect,Tempered,Laminate,,,No,C.31,"!(I.34 == ""2"")"
Standard Greenhouse,I.195,Choose the type of Polycarb for your Roof,singleselect,Twin Wall Polycarb,Five Wall Polycarb,,,No,C.132,"!(I.28 == ""2"")"
Standard Greenhouse,I.196,Choose the color of Twin Wall Polycarb,singleselect,Clear,Opal,Bronze,,No,C.133,"!(I.195 == ""1"")"
Standard Greenhouse,I.37,Do you want to Customize the Wall Material for All Walls or each Wall individually?,singleselect,All Walls,Customize each Wall,,,No,C.32,"!(I.17 == ""3"")"
Standard Greenhouse,I.38,Do you want to use Glass Glazing or Polycarb Glazing,singleselect,Glass,Polycarb,,,No,C.33,"!(I.37 == ""1"")"
Standard Greenhouse,I.39,Choose the type of Glass Glazing preferred for all Walls,singleselect,3mm Single Glass,6mm Single Glass,16mm Double Glass,,No,C.34,"!(I.38 == ""1"")"
Standard Greenhouse,I.203,Do you want Casement Windows in your Greenhouse?,boolean,,,,,No,C.162,"!(I.39 == ""3"")"
Standard Greenhouse,I.205,Enter the Quantity,integer,,,,,No,C.163,"!(I.203 == ""Yes"")"
Standard Greenhouse,I.40,Do you Want to Tint the Glass or Laminate it ?,singleselect,Tint,Laminate,,,No,C.35,"!(I.39 == ""1"")"
Standard Greenhouse,I.41,Choose the Tint Color,singleselect,Green,Brown,Gray,Custom,No,C.36,"!(I.40 == ""1"")"
Standard Greenhouse,I.42,Specify the color required,text,,,,,No,C.37,"!(I.41 == ""4"")"
Standard Greenhouse,I.43,What tint do you want on 6mm Single Glass in All Walls?,singleselect,Grey,Green,Bronze,Clear,No,C.38,"!(I.39 == ""2"")"
Standard Greenhouse,I.44,What configuration of 16mm Double Glass do you desire for All Walls?,singleselect,Clear,Low-E,,,No,C.39,"!(I.39 == ""3"")"
Standard Greenhouse,I.45,Choose the type of Clear Double Glass you prefer in All Walls,singleselect,Tempered,Laminate,,,No,C.40,"!(I.44 == ""1"")"
Standard Greenhouse,I.46,Choose the type of Low-E Double Glass you prefer in All Walls,singleselect,Tempered,Laminate,,,No,C.41,"!(I.44 == ""2"")"
Standard Greenhouse,I.47,Choose the type of Polycarb desired in All Walls,singleselect,Twin Wall Polycarb,Five Wall Polycarb,,,No,C.42,"!(I.38 == ""2"")"
Standard Greenhouse,I.48,Choose the color of the Polycarb,singleselect,Opal,Bronze,Clear,,No,C.43,"!(I.47 == ""1"")"
Standard Greenhouse,I.49,Which side of the wall would you like to customize?,multiselect,Left Side Wall,Right Side Wall,Left Gable Wall,Right Gable Wall,No,C.44,"!(I.37 == ""2"")"
Standard Greenhouse,I.50,Choose the type of Left Side Wall,singleselect,Glass,Polycarb,,,No,C.45,"!(I.49 == "",1"")"
Standard Greenhouse,I.51,Choose the type of Glass in Left Side Wall,singleselect,3mm Single Glass,6mm Single Glass,16mm Double Glass,,No,C.46,"!(I.50 == ""1"")"
Standard Greenhouse,I.206,Do you want Casement Windows in your Greenhouse?,boolean,,,,,No,C.165,"!(I.51 == ""3"")"
Standard Greenhouse,I.208,Enter the Quantity,integer,,,,,No,C.166,"!(I.206 == ""Yes"")"
Standard Greenhouse,I.52,Do you Want to Tint the Glass or Laminate it ?,singleselect,Tint,Laminate.,,,No,C.47,"!(I.51 == ""1"")"
Standard Greenhouse,I.53,Choose the Tint Color,singleselect,Green,Brown,Gray,Custom,No,C.48,"!(I.52 == ""1"")"
Standard Greenhouse,I.191,Specify the color required,text,,,,,No,C.124,"!(I.53 == ""4"")"
Standard Greenhouse,I.54,What tint do you want on 6mm Single Glass in Left Side Wall?,singleselect,Grey,Green,Bronze,Clear,No,C.49,"!(I.51 == ""2"")"
Standard Greenhouse,I.55,What configuration of 16mm Double Glass you want for Left Side Wall?,singleselect,Clear,Low-E,,,No,C.50,"!(I.51 == ""3"")"
Standard Greenhouse,I.56,Choose the type of Clear Double Glass you prefer in Left Side Wall,singleselect,Tempered,Laminate,,,No,C.51,"!(I.55 == ""1"")"
Standard Greenhouse,I.57,Choose the type of Low - E Double Glass you prefer in Left Side Wall,singleselect,Tempered,Laminate,,,No,C.52,"!(I.55 == ""2"")"
Standard Greenhouse,I.58,Choose the type of Polycarb in Left Side Wall,singleselect,Twin Wall Polycarb,Five Wall Polycarb,,,No,C.53,"!(I.50 == ""2"")"
Standard Greenhouse,I.59,Choose the color of the Polycarb,singleselect,Opal,Bronze,Clear,,No,C.54,"!(I.58 == ""1"")"
Standard Greenhouse,I.60,Choose the type of Right Side Wall,singleselect,Glass,Polycarb,,,No,C.55,"!(I.49 == "",2"")"
Standard Greenhouse,I.61,Choose the type of Glass in Right Side Wall,singleselect,3mm Single Glass,6mm Single Glass,16mm Double Glass,,No,C.56,"!(I.60 == ""1"")"
Standard Greenhouse,I.209,Do you want Casement Windows in your Greenhouse?,boolean,,,,,No,C.168,"!(I.61 == ""3"")"
Standard Greenhouse,I.211,Enter the Quantity,integer,,,,,No,C.169,"!(I.209 == ""Yes"")"
Standard Greenhouse,I.62,Do you Want to Tint the Glass or Laminate it?,singleselect,Tint,Laminate.,,,No,C.57,"!(I.61 == ""1"")"
Standard Greenhouse,I.63,Choose the Tint Color,singleselect,Green,Brown,Gray,Custom,No,C.58,"!(I.62 == ""1"")"
Standard Greenhouse,I.64,Specify the color required,text,,,,,No,C.59,"!(I.63 == ""4"")"
Standard Greenhouse,I.65,What tint do you want on 6mm Single Glass in Right Side Wall?,singleselect,Grey,Green,Bronze,Clear,No,C.60,"!(I.61 == ""2"")"
Standard Greenhouse,I.66,Choose the configuration of 16mm Double Glass in Right Side Wall,singleselect,Clear,Low-E,,,No,C.61,"!(I.61 == ""3"")"
Standard Greenhouse,I.67,Choose the type of clear double glass you prefer in Right Side Wall,singleselect,Tempered,Laminate,,,No,C.62,"!(I.66 == ""1"")"
Standard Greenhouse,I.68,Choose the type of Low -E double glass you prefer in Right Side Wall,singleselect,Tempered,Laminate,,,No,C.63,"!(I.66 == ""2"")"
Standard Greenhouse,I.69,Choose the type of Polycarb in Right Side Wall,singleselect,Twin Wall Polycarb,Five Wall Polycarb,,,No,C.64,"!(I.60 == ""2"")"
Standard Greenhouse,I.70,Choose the color of the Polycarb,singleselect,Opal, Bronze, Clear,,No,C.65,"!(I.69 == ""1"")"
Standard Greenhouse,I.71,Choose the type of Left Gable Wall,singleselect,Glass,Polycarb,,,No,C.66,"!(I.49 == "",3"")"
Standard Greenhouse,I.72,Choose the type of Glass in Left Gable Wall,singleselect,3mm Single Glass,6mm Single Glass,16mm Double Glass,,No,C.67,"!(I.71 == ""1"")"
Standard Greenhouse,I.212,Do you want Casement Windows in your Greenhouse?,boolean,,,,,No,C.171,"!(I.72 == ""3"")"
Standard Greenhouse,I.214,Enter the Quantity,integer,,,,,No,C.172,"!(I.212 == ""Yes"")"
Standard Greenhouse,I.73,Do you Want to Tint the Glass or Laminate it ?,singleselect,Tint,Laminate.,,,No,C.68,"!(I.72 == ""1"")"
Standard Greenhouse,I.74,Choose the Tint Color,singleselect,Green,Brown,Gray,Custom,No,C.69,"!(I.73 == ""1"")"
Standard Greenhouse,I.75,Specify the color required,text,,,,,No,C.70,"!(I.74 == ""4"")"
Standard Greenhouse,I.76,What tint do you want on 6mm Single Glass in Left Gable Wall?,singleselect,Grey,Green,Bronze,Clear,No,C.71,"!(I.72 == ""2"")"
Standard Greenhouse,I.77,What configuration of 16mm Double Glass do you desire for Left Gable Wall?,singleselect,Clear,Low-E,,,No,C.72,"!(I.72 == ""3"")"
Standard Greenhouse,I.78,Choose the type of clear double glass you prefer in Left Gable Wall,singleselect,Tempered,Laminate,,,No,C.73,"!(I.77 == ""1"")"
Standard Greenhouse,I.79,Choose the type of Low - E double glass you prefer in Left Gable Wall,singleselect,Tempered,Laminate,,,No,C.74,"!(I.77 == ""2"")"
Standard Greenhouse,I.80,Choose the type of Polycarb in Left Gable Wall,singleselect,Twin Wall Polycarb,Five Wall Polycarb,,,No,C.75,"!(I.71 == ""2"")"
Standard Greenhouse,I.81,Choose the color of the Polycarb,singleselect,Opal,Bronze,Clear,,No,C.76,"!(I.80 == ""1"")"
